Index,Dataset,Distance Metric,True Changes,Predicted Changes,Run Time,Covering,F1,Accuracy,Batch Size,Threshold,Max_dist_size,new_dist_buffer_size,score_margin
0,cicids-closest,acc,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[2992, 5984, 8976, 11968, 14960, 17952, 20944, 23936, 27064, 29920, 33048, 35904, 38896, 42024, 44880]",1.964987278,0.966354281,0.75,-36.8,136,1.139792505,0,408,68
1,cicids-closest,add_chisq,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[2992, 5984, 8976, 14960, 17952, 20944, 23936, 29920, 32912, 42024, 42704, 43112, 43520, 43928, 44880]",5.82248497,0.691335234,0.5625,-83.73333333,136,1.164263987,0,408,68
2,cicids-closest,bhattacharyya,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[408, 816, 1224, 1632, 2040, 2448, 2856, 5984, 6392, 6800, 7208, 7616, 8024, 8432, 8840, 9248, 9656, 10064, 10472, 10880, 11288, 11696, 12104, 12512, 12920, 13328, 13736, 14144, 14552, 14960, 15368, 15776, 16184, 16592, 17000, 17408, 17816, 24072, 24480, 24888, 25296, 25704, 26112, 26520, 26928, 27336, 27744, 28152, 28560, 28968, 29376, 29784, 33048, 33456, 33864, 34272, 34680, 35088, 35496, 35904, 36312, 36720, 37128, 37536, 37944, 38352, 38760, 42024, 42432, 42840, 43248, 43656, 44064, 44472, 44880, 45288, 45696, 46104, 46512, 46920, 47328, 47736]",1.458707571,0.3276515,0.101010101,-23.12195122,136,1.052595284,0,408,68
3,cicids-closest,braycurtis,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[2992, 5984, 8976, 11968, 14960, 17952, 20944, 23936, 27064, 29920, 33048, 35904, 38896, 42024, 44880]",2.368583918,0.966354281,0.75,-36.8,136,1.109348481,0,408,68
4,cicids-closest,canberra,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[2992, 5984, 8976, 11968, 14960, 15368, 17952, 20944, 23936, 33048, 35904, 42024, 42432, 43384, 44880]",5.181612015,0.756379886,0.6875,116.8,136,1.010540745,0,408,68
5,cicids-closest,chebyshev,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[408, 1496, 2992, 5984, 8976, 11968, 14960, 17952, 20944, 23936, 26928, 29920, 32912, 35904, 38896, 41888, 44880]",1.747714281,0.929851856,0.529411765,-297.4117647,136,0.951377419,0,408,68
6,cicids-closest,chebyshev_min,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]",[],384.8367829,0.0625,0.117647059,,136,0.838625974,0,408,68
7,cicids-closest,clark,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[408, 816, 2040, 2448, 2856, 5984, 8976, 11968, 14960, 15368, 17544, 17952, 20944, 23936, 24344, 24752, 25840, 26656, 33048, 34136, 34544, 35904, 42024, 42432, 43384, 44880]",3.138136148,0.696799863,0.465116279,-225.2307692,136,0.99714526,0,408,68
8,cicids-closest,correlation_pearson,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[1224, 1632, 2040, 2720, 3128, 3536, 3944, 4352, 4760, 5440, 5984, 6528, 8296, 9520, 9928, 10336, 10744, 11424, 11968, 14416, 18088, 18632, 19312, 19856, 20672, 30056, 30736, 31144, 31688, 32096, 32504, 39032, 39576, 39984, 40392, 40936, 41480]",13.16070414,0.408933515,0.185185185,-51.24324324,136,0.492073644,0,408,68
9,cicids-closest,czekanowski,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[2992, 5984, 8976, 11968, 14960, 17952, 20944, 23936, 27064, 29920, 33048, 35904, 38896, 42024, 44880]",3.083296537,0.966354281,0.75,-36.8,136,1.206036547,0,408,68
10,cicids-closest,divergence,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[408, 816, 2040, 2448, 2856, 5984, 8976, 11968, 14960, 15368, 17544, 17952, 20944, 23936, 24344, 24752, 25840, 26656, 33048, 34136, 34544, 35904, 42024, 42432, 43384, 44880]",2.907490253,0.696799863,0.465116279,-225.2307692,136,0.993090981,0,408,68
11,cicids-closest,euclidean,"[3000, 6000, 9000, 12000, 15000, 18000, 21000, 24000, 27000, 30000, 33000, 36000, 39000, 42000, 45000]","[1088, 2040, 2448, 2992, 5984, 8976, 11968, 14960, 17952, 20944, 23936, 27064, 27472, 29920, 33048, 34408, 35904, 38896, 42024, 42704, 43520, 44880]",186.4467976,0.858687615,0.615384615,-130.5454545,136,1.001937076,0,408,68
