strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.781090909,0.048,0.628666667,Bhattacharyya,Energy A
Cumulative,,IsolationForest(random_state=0),0.746181818,-0.007555556,0.596222222,Bhattacharyya,Energy A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.956545455,-0.025333333,0.978222222,Bhattacharyya,Energy A
Cumulative,,AutoEncoder,0.819454545,0.022,0.704,Bhattacharyya,Energy A
Cumulative,,OneClassSVM(gamma='auto'),0.768,-0.015333333,0.669555556,Bhattacharyya,Energy A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.781090909,0.048,0.628666667,Bhattacharyya,Energy A
Naive,,IsolationForest(random_state=0),0.746181818,-0.007555556,0.596222222,Bhattacharyya,Energy A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.956545455,-0.025333333,0.978222222,Bhattacharyya,Energy A
Naive,,AutoEncoder,0.810363636,0.021777778,0.684444444,Bhattacharyya,Energy A
Naive,,OneClassSVM(gamma='auto'),0.768,-0.015333333,0.669555556,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.781090909,0.048,0.628666667,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.746181818,-0.007555556,0.596222222,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.956545455,-0.025333333,0.978222222,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,AutoEncoder,0.816181818,0.024444444,0.692888889,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.768,-0.015333333,0.669555556,Bhattacharyya,Energy A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.841090909,0.110222222,0.788444444,Bhattacharyya,Energy C
Cumulative,,IsolationForest(random_state=0),0.773636364,0.03,0.617555556,Bhattacharyya,Energy C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.870909091,-0.006888889,0.884222222,Bhattacharyya,Energy C
Cumulative,,AutoEncoder,0.852909091,0.068888889,0.820666667,Bhattacharyya,Energy C
Cumulative,,OneClassSVM(gamma='auto'),0.683818182,0.012444444,0.592666667,Bhattacharyya,Energy C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.770181818,0.065777778,0.776222222,Bhattacharyya,Energy C
Naive,,IsolationForest(random_state=0),0.684,-0.070888889,0.626222222,Bhattacharyya,Energy C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.869818182,-0.009555556,0.900666667,Bhattacharyya,Energy C
Naive,,AutoEncoder,0.812,0.009777778,0.814222222,Bhattacharyya,Energy C
Naive,,OneClassSVM(gamma='auto'),0.672363636,0.004666667,0.583111111,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.837454545,0.099333333,0.793111111,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.751818182,0.020444444,0.612888889,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.888727273,-0.002666667,0.916222222,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,AutoEncoder,0.861090909,0.043333333,0.844444444,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.717818182,0.017111111,0.628,Bhattacharyya,Energy C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.624545455,0.071777778,0.653333333,Bhattacharyya,Energy R
Cumulative,,IsolationForest(random_state=0),0.71,0.012888889,0.535111111,Bhattacharyya,Energy R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.957272727,-0.024,0.968666667,Bhattacharyya,Energy R
Cumulative,,AutoEncoder,0.706363636,0.043555556,0.715555556,Bhattacharyya,Energy R
Cumulative,,OneClassSVM(gamma='auto'),0.659272727,0.009333333,0.690222222,Bhattacharyya,Energy R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.624545455,0.071777778,0.653333333,Bhattacharyya,Energy R
Naive,,IsolationForest(random_state=0),0.71,0.012888889,0.535111111,Bhattacharyya,Energy R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.957272727,-0.024,0.968666667,Bhattacharyya,Energy R
Naive,,AutoEncoder,0.704909091,0.045333333,0.700444444,Bhattacharyya,Energy R
Naive,,OneClassSVM(gamma='auto'),0.659272727,0.009333333,0.690222222,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.624545455,0.071777778,0.653333333,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.71,0.012888889,0.535111111,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.957272727,-0.024,0.968666667,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,AutoEncoder,0.698363636,0.042,0.701777778,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.659272727,0.009333333,0.690222222,Bhattacharyya,Energy R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.900619048,-0.008368421,0.230263158,Bhattacharyya,NSLKDD A
Cumulative,,IsolationForest(random_state=0),0.941952381,-0.029894737,0.906157895,Bhattacharyya,NSLKDD A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.920904762,0.039947368,0.834421053,Bhattacharyya,NSLKDD A
Cumulative,,AutoEncoder,0.964809524,-0.013684211,0.844736842,Bhattacharyya,NSLKDD A
Cumulative,,OneClassSVM(gamma='auto'),0.720571429,-0.053421053,0.660105263,Bhattacharyya,NSLKDD A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.692571429,-0.306947368,0.698894737,Bhattacharyya,NSLKDD A
Naive,,IsolationForest(random_state=0),0.839333333,-0.170947368,0.793789474,Bhattacharyya,NSLKDD A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.601809524,-0.049,0.549526316,Bhattacharyya,NSLKDD A
Naive,,AutoEncoder,0.856904762,-0.153684211,0.804,Bhattacharyya,NSLKDD A
Naive,,OneClassSVM(gamma='auto'),0.883428571,-0.125,0.866105263,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.880142857,-0.008526316,0.202526316,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.943238095,-0.032263158,0.905842105,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.882333333,0.055631579,0.736315789,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,AutoEncoder,0.950619048,-0.026052632,0.895684211,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.791285714,-0.093263158,0.819526316,Bhattacharyya,NSLKDD A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.879904762,-0.021789474,0.352526316,Bhattacharyya,NSLKDD C
Cumulative,,IsolationForest(random_state=0),0.850809524,-0.080052632,0.912473684,Bhattacharyya,NSLKDD C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.788666667,0.015947368,0.775157895,Bhattacharyya,NSLKDD C
Cumulative,,AutoEncoder,0.855857143,-0.104526316,0.892947368,Bhattacharyya,NSLKDD C
Cumulative,,OneClassSVM(gamma='auto'),0.671,-0.106368421,0.671631579,Bhattacharyya,NSLKDD C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.643857143,-0.330473684,0.739368421,Bhattacharyya,NSLKDD C
Naive,,IsolationForest(random_state=0),0.633904762,-0.307368421,0.759842105,Bhattacharyya,NSLKDD C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.442190476,-0.029263158,0.250894737,Bhattacharyya,NSLKDD C
Naive,,AutoEncoder,0.591285714,-0.357947368,0.851157895,Bhattacharyya,NSLKDD C
Naive,,OneClassSVM(gamma='auto'),0.625285714,-0.355894737,0.862631579,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.877809524,0.004368421,0.377315789,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.848952381,-0.084736842,0.920263158,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.690571429,0.024473684,0.568684211,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,AutoEncoder,0.846095238,-0.125263158,0.925473684,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.710904762,-0.113578947,0.830315789,Bhattacharyya,NSLKDD C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.899571429,-0.047684211,0.397157895,Bhattacharyya,NSLKDD R
Cumulative,,IsolationForest(random_state=0),0.80347619,-0.086473684,0.809894737,Bhattacharyya,NSLKDD R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.720619048,-0.015315789,0.617894737,Bhattacharyya,NSLKDD R
Cumulative,,AutoEncoder,0.871571429,-0.035526316,0.727578947,Bhattacharyya,NSLKDD R
Cumulative,,OneClassSVM(gamma='auto'),0.709,-0.054315789,0.624526316,Bhattacharyya,NSLKDD R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.600095238,-0.392526316,0.666315789,Bhattacharyya,NSLKDD R
Naive,,IsolationForest(random_state=0),0.670857143,-0.317842105,0.685736842,Bhattacharyya,NSLKDD R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.439428571,-0.043052632,0.317,Bhattacharyya,NSLKDD R
Naive,,AutoEncoder,0.732666667,-0.213526316,0.724210526,Bhattacharyya,NSLKDD R
Naive,,OneClassSVM(gamma='auto'),0.749380952,-0.256052632,0.739105263,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.888333333,-0.041473684,0.379789474,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.809190476,-0.096526316,0.807105263,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.637809524,0.025947368,0.502368421,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,AutoEncoder,0.879190476,-0.050315789,0.775421053,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.755666667,-0.110631579,0.730578947,Bhattacharyya,NSLKDD R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.725818182,0.286666667,0.355333333,Bhattacharyya,UNSW A
Cumulative,,IsolationForest(random_state=0),0.466181818,0.137555556,0.364,Bhattacharyya,UNSW A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.502727273,0.065777778,0.376888889,Bhattacharyya,UNSW A
Cumulative,,AutoEncoder,0.513090909,0.177555556,0.302444444,Bhattacharyya,UNSW A
Cumulative,,OneClassSVM(gamma='auto'),0.507090909,0.084,0.454222222,Bhattacharyya,UNSW A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.693818182,0.149111111,0.391111111,Bhattacharyya,UNSW A
Naive,,IsolationForest(random_state=0),0.58,0.159111111,0.456,Bhattacharyya,UNSW A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.542727273,0.120666667,0.400444444,Bhattacharyya,UNSW A
Naive,,AutoEncoder,0.650363636,0.195111111,0.383111111,Bhattacharyya,UNSW A
Naive,,OneClassSVM(gamma='auto'),0.568545455,0.130444444,0.462666667,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.656727273,0.254444444,0.314666667,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.518909091,0.188222222,0.382666667,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.536727273,0.07,0.391111111,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,AutoEncoder,0.533454545,0.142222222,0.353555556,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.522909091,0.132888889,0.456666667,Bhattacharyya,UNSW A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.803272727,0.189333333,0.190666667,Bhattacharyya,UNSW C
Cumulative,,IsolationForest(random_state=0),0.519818182,0.010222222,0.354888889,Bhattacharyya,UNSW C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.424,0.053333333,0.267555556,Bhattacharyya,UNSW C
Cumulative,,AutoEncoder,0.592545455,0.098222222,0.266222222,Bhattacharyya,UNSW C
Cumulative,,OneClassSVM(gamma='auto'),0.554,0.046888889,0.55,Bhattacharyya,UNSW C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.731636364,-0.068,0.388444444,Bhattacharyya,UNSW C
Naive,,IsolationForest(random_state=0),0.525818182,-0.123111111,0.470222222,Bhattacharyya,UNSW C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.212363636,-0.061333333,0.224444444,Bhattacharyya,UNSW C
Naive,,AutoEncoder,0.681090909,0.038888889,0.449333333,Bhattacharyya,UNSW C
Naive,,OneClassSVM(gamma='auto'),0.590181818,-0.064888889,0.468222222,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.756727273,0.258888889,0.148666667,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.536181818,0.004888889,0.371333333,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.281454545,0.021333333,0.218222222,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,AutoEncoder,0.608545455,0.006,0.282444444,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.564363636,0.059555556,0.526,Bhattacharyya,UNSW C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.857090909,0.192,0.533111111,Bhattacharyya,UNSW R
Cumulative,,IsolationForest(random_state=0),0.687272727,0.089111111,0.465333333,Bhattacharyya,UNSW R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.656727273,0.072222222,0.306,Bhattacharyya,UNSW R
Cumulative,,AutoEncoder,0.809454545,0.064888889,0.404,Bhattacharyya,UNSW R
Cumulative,,OneClassSVM(gamma='auto'),0.676,0.087111111,0.479555556,Bhattacharyya,UNSW R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.767454545,-0.137111111,0.510444444,Bhattacharyya,UNSW R
Naive,,IsolationForest(random_state=0),0.591090909,-0.214666667,0.537777778,Bhattacharyya,UNSW R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.408363636,-0.045333333,0.18,Bhattacharyya,UNSW R
Naive,,AutoEncoder,0.777818182,-0.213555556,0.602444444,Bhattacharyya,UNSW R
Naive,,OneClassSVM(gamma='auto'),0.637272727,-0.222,0.537333333,Bhattacharyya,UNSW R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.838909091,0.166666667,0.394,Bhattacharyya,UNSW R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.692181818,0.072,0.472888889,Bhattacharyya,UNSW R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.547818182,0.065333333,0.220444444,Bhattacharyya,UNSW R
Replay,budget=0.2_compact_True,AutoEncoder,0.822,0.016444444,0.419333333,Bhattacharyya,UNSW R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.718363636,0.132444444,0.501111111,Bhattacharyya,UNSW R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.855333333,0.072,0.693,Bhattacharyya,Wind A
Cumulative,,IsolationForest(random_state=0),0.744,0.081,0.646,Bhattacharyya,Wind A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.936,-0.043,0.967,Bhattacharyya,Wind A
Cumulative,,AutoEncoder,0.816666667,0.068,0.654,Bhattacharyya,Wind A
Cumulative,,OneClassSVM(gamma='auto'),0.746666667,0.003,0.613,Bhattacharyya,Wind A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.855333333,0.072,0.693,Bhattacharyya,Wind A
Naive,,IsolationForest(random_state=0),0.744,0.081,0.646,Bhattacharyya,Wind A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.936,-0.043,0.967,Bhattacharyya,Wind A
Naive,,AutoEncoder,0.804666667,0.084,0.614,Bhattacharyya,Wind A
Naive,,OneClassSVM(gamma='auto'),0.746666667,0.003,0.613,Bhattacharyya,Wind A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.855333333,0.072,0.693,Bhattacharyya,Wind A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.744,0.081,0.646,Bhattacharyya,Wind A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.936,-0.043,0.967,Bhattacharyya,Wind A
Replay,budget=0.2_compact_True,AutoEncoder,0.79,0.072,0.618,Bhattacharyya,Wind A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.746666667,0.003,0.613,Bhattacharyya,Wind A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.885333333,0.046,0.82,Bhattacharyya,Wind C
Cumulative,,IsolationForest(random_state=0),0.764,0.08,0.694,Bhattacharyya,Wind C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.91,-0.011,0.933,Bhattacharyya,Wind C
Cumulative,,AutoEncoder,0.862,0.021,0.761,Bhattacharyya,Wind C
Cumulative,,OneClassSVM(gamma='auto'),0.814666667,-0.044,0.747,Bhattacharyya,Wind C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.885333333,0.046,0.82,Bhattacharyya,Wind C
Naive,,IsolationForest(random_state=0),0.764,0.08,0.694,Bhattacharyya,Wind C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.91,-0.011,0.933,Bhattacharyya,Wind C
Naive,,AutoEncoder,0.856666667,0.016,0.775,Bhattacharyya,Wind C
Naive,,OneClassSVM(gamma='auto'),0.814666667,-0.044,0.747,Bhattacharyya,Wind C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.885333333,0.046,0.82,Bhattacharyya,Wind C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.764,0.08,0.694,Bhattacharyya,Wind C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.91,-0.011,0.933,Bhattacharyya,Wind C
Replay,budget=0.2_compact_True,AutoEncoder,0.873333333,0.014,0.763,Bhattacharyya,Wind C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.814666667,-0.044,0.747,Bhattacharyya,Wind C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.944,0.082,0.564,Bhattacharyya,Wind R
Cumulative,,IsolationForest(random_state=0),0.83,0.113,0.659,Bhattacharyya,Wind R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.880666667,-0.006,0.888,Bhattacharyya,Wind R
Cumulative,,AutoEncoder,0.926,0.05,0.605,Bhattacharyya,Wind R
Cumulative,,OneClassSVM(gamma='auto'),0.742666667,-0.026,0.533,Bhattacharyya,Wind R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.701333333,-0.288,0.513,Bhattacharyya,Wind R
Naive,,IsolationForest(random_state=0),0.729333333,-0.014,0.644,Bhattacharyya,Wind R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.898666667,0.005,0.879,Bhattacharyya,Wind R
Naive,,AutoEncoder,0.832,-0.145,0.661,Bhattacharyya,Wind R
Naive,,OneClassSVM(gamma='auto'),0.644,-0.256,0.496,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.942666667,0.08,0.588,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.830666667,0.1,0.639,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.902666667,0.019,0.895,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,AutoEncoder,0.9,0.018,0.655,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.778,-0.036,0.536,Bhattacharyya,Wind R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.959090909,0.053555556,0.617111111,Canberra,Energy A
Cumulative,,IsolationForest(random_state=0),0.753272727,-0.093777778,0.571333333,Canberra,Energy A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.869454545,-0.040444444,0.832444444,Canberra,Energy A
Cumulative,,AutoEncoder,0.915818182,-0.018666667,0.66,Canberra,Energy A
Cumulative,,OneClassSVM(gamma='auto'),0.724727273,-0.110444444,0.608444444,Canberra,Energy A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.674363636,-0.326222222,0.680444444,Canberra,Energy A
Naive,,IsolationForest(random_state=0),0.619454545,-0.319333333,0.561333333,Canberra,Energy A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.902,-0.077111111,0.877777778,Canberra,Energy A
Naive,,AutoEncoder,0.715636364,-0.296222222,0.743333333,Canberra,Energy A
Naive,,OneClassSVM(gamma='auto'),0.577272727,-0.398888889,0.487777778,Canberra,Energy A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.946909091,0.036666667,0.611555556,Canberra,Energy A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.736,-0.151333333,0.566,Canberra,Energy A
