strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7810909090909093,0.0479999999999999,0.6286666666666666,Bhattacharyya,Energy A
Cumulative,,IsolationForest(random_state=0),0.7461818181818182,-0.0075555555555555,0.5962222222222222,Bhattacharyya,Energy A
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7943636363636363,0.0484444444444444,0.6004444444444444,Bhattacharyya,Energy A
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7356363636363636,0.0097777777777777,0.5744444444444444,Bhattacharyya,Energy A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.9565454545454544,-0.0253333333333333,0.978222222222222,Bhattacharyya,Energy A
Cumulative,,AutoEncoder,0.8194545454545454,0.022,0.704,Bhattacharyya,Energy A
Cumulative,,OneClassSVM(gamma='auto'),0.7680000000000001,-0.0153333333333333,0.6695555555555556,Bhattacharyya,Energy A
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.47,-0.01,0.4315555555555556,Bhattacharyya,Energy A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7810909090909093,0.0479999999999999,0.6286666666666666,Bhattacharyya,Energy A
Naive,,IsolationForest(random_state=0),0.7461818181818182,-0.0075555555555555,0.5962222222222222,Bhattacharyya,Energy A
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7943636363636363,0.0484444444444444,0.6004444444444444,Bhattacharyya,Energy A
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7356363636363636,0.0097777777777777,0.5744444444444444,Bhattacharyya,Energy A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.9565454545454544,-0.0253333333333333,0.978222222222222,Bhattacharyya,Energy A
Naive,,AutoEncoder,0.8103636363636364,0.0217777777777777,0.6844444444444444,Bhattacharyya,Energy A
Naive,,OneClassSVM(gamma='auto'),0.7680000000000001,-0.0153333333333333,0.6695555555555556,Bhattacharyya,Energy A
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.47,-0.01,0.4315555555555556,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7810909090909093,0.0479999999999999,0.6286666666666666,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.7461818181818182,-0.0075555555555555,0.5962222222222222,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7943636363636363,0.0484444444444444,0.6004444444444444,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7356363636363636,0.0097777777777777,0.5744444444444444,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.9565454545454544,-0.0253333333333333,0.978222222222222,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,AutoEncoder,0.8161818181818182,0.0244444444444444,0.6928888888888889,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.7680000000000001,-0.0153333333333333,0.6695555555555556,Bhattacharyya,Energy A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.47,-0.01,0.4315555555555556,Bhattacharyya,Energy A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8410909090909089,0.1102222222222222,0.7884444444444444,Bhattacharyya,Energy C
Cumulative,,IsolationForest(random_state=0),0.7736363636363636,0.0299999999999999,0.6175555555555555,Bhattacharyya,Energy C
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.872,0.0853333333333333,0.802,Bhattacharyya,Energy C
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7890909090909091,0.0055555555555555,0.6722222222222223,Bhattacharyya,Energy C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.8709090909090909,-0.0068888888888889,0.8842222222222222,Bhattacharyya,Energy C
Cumulative,,AutoEncoder,0.852909090909091,0.0688888888888889,0.8206666666666667,Bhattacharyya,Energy C
Cumulative,,OneClassSVM(gamma='auto'),0.683818181818182,0.0124444444444444,0.5926666666666667,Bhattacharyya,Energy C
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.453090909090909,-0.0197777777777777,0.3624444444444445,Bhattacharyya,Energy C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7701818181818182,0.0657777777777777,0.7762222222222224,Bhattacharyya,Energy C
Naive,,IsolationForest(random_state=0),0.6839999999999999,-0.0708888888888889,0.6262222222222222,Bhattacharyya,Energy C
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.81,0.0337777777777777,0.801111111111111,Bhattacharyya,Energy C
